year,selling_price,transmission,potencia_motor_hp,nivel_seguridad,score_calidad,eficiencia_km_l,calidad_auto_num
2018,930000,0,107,2.3,7.0,11.88037689471528,1
2018,525000,0,324,2.4,7.5,11.880247109139871,2
2013,1735000,1,311,3.2,7.1,10.5300844512773,1
2012,1375000,1,64,3.4,6.2,10.260146313329082,1
2011,450000,1,65,2.1,5.5,9.989964069837816,1
2016,900000,1,289,3.2,7.0,11.339925610088,1
2015,1300000,0,105,2.0,5.6000000000000005,11.07005963994631,1
2019,1400000,0,156,2.3,6.3,12.15066828675577,1
2010,850000,1,171,3.1,6.3,9.71999869310942,1
2014,229999,0,266,2.1,7.1,10.799913600691193,1
2013,1550000,1,190,2.2,6.2,10.529971521844828,1
2009,1250000,1,218,2.8,5.6000000000000005,9.449963653985948,1
2012,625000,0,162,2.1,6.1,10.260093366849638,1
2014,1050000,0,194,1.3,5.9,10.80006912044237,1
2014,560000,0,75,1.7,5.6000000000000005,10.7999241086414,1
2014,290000,0,151,1.2,6.2,10.80004725020672,1
2012,275000,0,286,1.5,6.1,10.259917920656637,1
2009,411000,0,202,1.3,5.0,9.45000945000945,1
2009,150000,0,322,1.8,6.1,9.449986841790476,1
2019,500000,0,171,2.2,6.3,12.149684108213188,1
2006,100000,0,299,1.6,5.4,9.45000945000945,1
2017,725000,0,243,1.4,6.0,11.609664261060558,1
2018,401000,0,157,3.1,6.6000000000000005,11.87980433263452,1
2018,750000,0,206,3.0,7.1,11.879890213428371,1
2018,310000,0,265,2.1,7.1,11.88001188001188,1
2016,665000,0,78,2.4,6.2,11.34010452618085,1
2014,465000,0,146,2.1,6.1,10.799969142945306,1
2012,160000,0,319,1.9,6.0,10.259917920656637,1
1996,250000,0,251,1.7,5.4,9.45000945000945,1
2014,675000,0,189,1.3,5.8,10.800043200172802,1
2013,300000,0,263,2.4,6.2,10.530056730680636,1
2005,70000,0,82,1.0,4.2,9.45000945000945,0
2014,240000,0,243,2.0,6.4,10.800058936201562,1
2014,525000,0,166,1.8,6.2,10.800023478311909,1
2009,151000,0,141,2.4,6.3,9.449964614295824,1
2009,140000,0,396,1.6,6.3,9.45000945000945,1
2010,280000,0,218,1.8,5.8,9.72000822034981,1
2011,350000,0,373,2.1,6.6000000000000005,9.99000999000999,1
2017,570000,0,327,1.1,5.9,11.609907120743037,1
2018,300000,0,180,2.1,6.2,11.880125699394496,1
2007,100000,0,222,1.3,4.8,9.449963653985948,0
2009,500000,0,63,1.2,4.4,9.45000945000945,0
2014,125000,0,343,1.0,6.3,10.799979180763025,1
2006,130000,0,289,1.9,5.9,9.45000945000945,1
2017,925000,0,348,2.2,6.800000000000001,11.61016386917004,1
2018,750000,0,389,3.4,8.0,11.88001188001188,2
2007,200000,1,265,2.7,6.2,9.449976375059062,1
2010,248000,0,64,1.4,5.0,9.719972228650777,1
2014,450000,0,325,2.3,6.4,10.8000108000108,1
2005,80000,0,212,2.3,5.699999999999999,9.45000945000945,1
2014,650000,0,76,1.9,5.1,10.800056842404434,1
2015,450000,0,302,1.4,6.0,11.07005963994631,1
2019,650000,0,248,3.4,7.6,12.150077760497668,2
2016,495000,0,271,1.3,5.9,11.339971550497866,1
2015,371000,0,375,1.1,7.1,11.06990645929042,1
2017,1025000,0,348,2.2,6.800000000000001,11.609907120743031,1
2017,8150000,1,196,2.8,6.9,11.609215931416324,1
2015,750000,0,237,1.4,6.2,11.069993990574693,1
2013,600000,0,218,2.0,5.8,10.53001053001053,1
2007,80000,0,233,2.2,5.9,9.449947862356622,1
2013,325000,0,302,2.3,6.3,10.530058067683555,1
2014,1470000,1,170,2.4,6.3,10.800165178996856,1
2015,350000,0,191,1.0,6.4,11.070033627838002,1
2013,2800000,1,90,2.8,6.7,10.529935101216315,1
2017,210000,0,63,2.3,6.2,11.609907120743037,1
2013,450000,0,77,1.3,5.300000000000001,10.5300844512773,1
2013,1150000,1,397,2.6,7.199999999999999,10.53008026702694,1
2009,210000,1,291,2.4,5.9,9.44996725995595,1
2018,4500000,1,349,3.0,8.299999999999999,11.880227906412898,2
2017,2750000,1,107,3.3,6.4,11.610252746271325,1
2018,1975000,1,122,3.2,6.5,11.879843864909205,1
2008,175000,0,329,2.2,5.699999999999999,9.449969226782418,1
2012,2500000,1,149,2.5,5.699999999999999,10.259917920656637,1
2017,628000,0,146,1.4,5.6000000000000005,11.610019446782571,1
2010,600000,0,348,2.4,6.2,9.719967729707138,1
2017,399000,0,140,2.0,5.9,11.609907120743037,1
2018,750000,0,229,3.0,7.800000000000001,11.88005243609351,2
2019,750000,0,219,3.1,7.3,12.149684108213188,1
2017,315000,0,171,1.5,5.8,11.610187939917278,1
2012,600000,0,158,1.8,5.8,10.259917920656637,1
2010,100000,0,230,1.4,5.2,9.720062208398131,1
2011,250000,0,244,2.3,5.6000000000000005,9.99000999000999,1
2017,350000,0,202,1.9,6.1,11.610086843449588,1
2016,780000,0,365,1.4,6.1,11.34001134001134,1
2014,434000,0,302,2.3,7.4,10.800032665505226,1
2016,690000,1,130,2.9,7.199999999999999,11.339957758657349,1
2014,555000,0,122,1.7,5.8,10.800043200172802,1
2007,120000,0,129,1.1,4.9,9.450009450009452,0
2014,500000,0,200,2.4,6.0,10.8000108000108,1
2013,165000,0,163,2.4,5.6000000000000005,10.53001053001053,1
2004,95000,0,205,1.8,6.0,9.45000945000945,1
2018,550000,0,222,2.7,7.6,11.88001188001188,2
2007,100000,0,60,1.5,4.5,9.45000945000945,0
2012,100000,0,275,1.4,6.2,10.259988098413803,1
2012,500000,0,184,1.9,6.5,10.259988098413803,1
2016,800000,0,95,1.2,6.2,11.34007257646449,1
2016,840000,0,301,2.4,7.0,11.34007257646449,1
2016,490000,0,267,1.3,5.699999999999999,11.339925610088,1
2010,125000,0,314,2.1,6.3,9.72003888015552,1
2012,400000,0,361,1.5,6.0,10.260005643003105,1
2015,1000000,0,312,1.3,6.4,11.070110701107012,1
2015,530000,0,224,1.8,6.3,11.06957263631428,1
2017,840000,0,181,2.1,6.5,11.610125507219024,1
2015,229999,0,141,2.1,6.1,11.06990645929042,1
1998,40000,0,359,1.4,6.1,9.45000945000945,1
2012,130000,0,383,1.5,5.9,10.259961781642364,1
2015,200000,0,135,2.3,6.4,11.069993990574693,1
2011,120000,0,392,2.1,6.7,9.99000999000999,1
2003,75000,0,393,2.1,6.2,9.450072118971434,1
2016,250000,0,238,1.4,6.9,11.34001134001134,1
2005,100000,0,261,2.2,5.9,9.45000945000945,1
2013,280000,0,145,1.5,5.9,10.529736756581086,1
2015,540000,0,324,1.6,6.800000000000001,11.069293779056895,1
2018,700000,0,396,2.4,8.2,11.879306248515087,2
2015,525000,0,128,1.2,5.300000000000001,11.07002900347599,1
2016,430000,0,165,1.6,5.5,11.339957758657349,1
2002,65000,0,124,1.0,4.2,9.45000945000945,0
2018,800000,0,86,2.7,5.9,11.880112691354674,1
2007,75000,0,65,2.1,5.4,9.449993782898828,1
2008,210000,0,368,2.4,6.5,9.449931461108571,1
2012,195000,0,176,1.1,5.699999999999999,10.260018174889336,1
2015,400000,0,205,1.4,6.0,11.07000857925665,1
2012,170000,0,223,1.7,6.6000000000000005,10.259917920656637,1
2016,225000,0,156,1.3,5.9,11.339925610088,1
2014,210000,0,369,1.2,6.5,10.800043200172802,1
2020,240000,0,221,2.7,7.800000000000001,12.420045954170032,2
2015,300000,0,347,1.9,6.2,11.069993990574693,1
2011,99000,0,110,2.2,5.699999999999999,9.99000999000999,1
2014,620000,0,190,2.5,6.0,10.80010800108001,1
2013,500000,0,380,2.2,6.5,10.53001053001053,1
2010,2550000,1,313,2.3,5.8,9.720062208398137,1
2013,260000,0,72,2.1,5.300000000000001,10.529957729741112,1
2017,550000,0,67,1.8,5.300000000000001,11.609907120743037,1
2011,150000,0,323,1.7,5.6000000000000005,9.98997789998458,1
2011,350000,1,373,3.4,6.7,9.99000999000999,1
2016,320000,0,195,2.1,7.1,11.340118504238369,1
2015,400000,0,376,2.0,7.0,11.07002900347599,1
2012,175000,0,307,1.0,6.5,10.259961781642364,1
2011,120000,0,258,2.3,6.9,9.99000999000999,1
2013,320000,0,135,2.2,5.4,10.53001053001053,1
2006,70000,0,153,1.4,5.699999999999999,9.45000945000945,1
2019,810000,0,389,2.4,7.199999999999999,12.149684108213188,1
2007,95000,0,77,1.1,4.699999999999999,9.45000945000945,0
2020,282000,0,231,2.1,6.6000000000000005,12.42004595417003,1
2004,80000,0,207,2.0,6.1,9.45000945000945,1
2013,72000,0,61,1.3,5.300000000000001,10.529862690590516,1
2016,600000,0,89,2.4,5.8,11.339925610088,1
2015,640000,0,231,2.3,6.6000000000000005,11.069933099099968,1
2018,380000,0,309,2.5,7.5,11.879993565338625,2
2018,650000,0,106,2.6,6.6000000000000005,11.879911070379988,1
2009,150000,0,358,1.5,5.699999999999999,9.45000945000945,1
2009,280000,0,70,1.1,4.4,9.45000945000945,0
2018,430000,0,334,2.0,6.5,11.879776660198788,1
2019,800000,0,63,2.7,5.9,12.149684108213188,1
2003,75000,0,225,2.4,6.3,9.45000945000945,1
2016,650000,1,260,3.4,6.9,11.34007257646449,1
2017,390000,0,221,2.2,6.3,11.609907120743037,1
2005,100000,0,366,1.9,6.1,9.45000945000945,1
2013,1500000,1,298,3.3,7.1,10.530116132137914,1
2007,175000,0,163,1.8,5.6000000000000005,9.449977092426032,1
2012,434999,0,398,1.3,7.0,10.26004551729284,1
2010,170000,0,96,2.0,5.6000000000000005,9.71995723218818,1
2011,190000,0,283,2.4,6.6000000000000005,9.99000999000999,1
2009,250000,0,118,1.0,4.9,9.45000945000945,0
2009,229999,0,279,1.4,5.699999999999999,9.45000945000945,1
2006,140000,0,333,1.4,6.4,9.45000945000945,1
2017,600000,0,84,1.1,5.8,11.60998584183305,1
2012,280000,0,266,1.3,6.1,10.26004551729284,1
2012,150000,0,84,1.6,5.0,10.259917920656637,1
2015,650000,1,143,3.4,6.2,11.07002900347599,1
2014,210000,0,307,2.3,6.800000000000001,10.8000108000108,1
2017,2900000,1,307,3.4,7.199999999999999,11.610019446782571,1
2013,425000,0,110,1.2,5.4,10.530195335123468,1
2014,265000,0,69,1.0,5.2,10.79998429093194,1
2018,890000,0,236,2.2,6.9,11.88284518828452,1
2013,365000,0,184,2.4,6.3,10.529943329759536,1
2014,350000,0,225,1.2,5.9,10.7999497676755,1
2016,685000,0,185,1.9,6.3,11.34001134001134,1
2018,940000,0,361,2.3,7.4,11.878081577767816,1
2017,1000000,0,306,1.0,6.4,11.610019446782571,1
2019,1150000,0,129,2.1,7.1,12.149684108213188,1
2016,450000,0,70,2.1,6.0,11.340028750525626,1
2015,590000,0,142,1.3,6.4,11.070047856668427,1
2017,800000,0,219,1.3,6.2,11.610019446782571,1
2012,385000,0,117,1.6,5.1,10.260038917388997,1
2013,2000000,1,138,3.0,7.0,10.53001053001053,1
2012,235000,0,244,1.7,6.6000000000000005,10.259917920656637,1
2017,640000,0,136,2.4,7.1,11.610067587179168,1
2006,52000,0,130,1.7,5.2,9.45000945000945,1
2009,80000,0,175,1.3,5.5,9.450009450009452,1
2012,140000,0,244,1.8,5.5,10.260018174889336,1
2008,120000,0,382,1.7,6.2,9.450009450009452,1
2008,89999,0,74,2.2,5.5,9.449992679583136,1
2012,180000,0,399,2.4,6.6000000000000005,10.260005643003105,1
2017,1500000,0,62,2.3,6.7,11.609682475184304,1
2017,700000,0,117,1.6,5.6000000000000005,11.610356437942643,1
2012,285000,0,342,1.3,6.800000000000001,10.259961781642364,1
2015,390000,0,247,2.4,6.7,11.06997453905856,1
2008,125000,0,318,1.6,5.9,9.45000945000945,1
2008,225000,0,234,2.2,5.9,9.45000945000945,1
2011,175000,0,124,2.5,5.300000000000001,9.990009990009993,1
2011,1075000,0,70,1.9,5.4,9.99000999000999,1
2014,300000,0,340,1.7,6.2,10.799991360006912,1
2010,700000,0,250,2.0,6.6000000000000005,9.72002743075226,1
2009,90000,0,63,1.3,4.5,9.45000945000945,0
2011,120000,0,398,1.7,6.1,9.99000999000999,1
2012,220000,0,113,1.5,5.5,10.259988098413803,1
2015,300000,0,119,1.2,5.6000000000000005,11.069993990574693,1
2010,180000,0,215,1.9,5.8,9.720018769691418,1
2013,170000,0,197,1.9,6.1,10.529957729741112,1
2015,300000,0,223,2.1,6.1,11.07002900347599,1
2014,1050000,0,139,2.3,6.1,10.799969142945306,1
2014,300000,0,374,1.3,6.5,10.799991360006912,1
2018,465000,0,232,3.2,7.3,11.879870747006272,1
2011,130000,0,238,1.6,6.5,9.99000999000999,1
2018,434999,0,105,2.9,6.7,11.879306248515087,1
2018,500000,0,315,3.3,7.7,11.88001188001188,2
2018,200000,0,191,2.4,7.0,11.879306248515087,1
2017,625000,0,229,1.9,6.6000000000000005,11.60999352519592,1
2006,110000,0,195,1.7,5.4,9.45000945000945,1
2019,800000,0,164,3.2,6.800000000000001,12.150037833747705,1
2017,490000,0,361,2.0,6.7,11.609907120743031,1
2017,880000,0,85,2.2,5.6000000000000005,11.609977324263038,1
2013,290000,0,60,1.4,4.699999999999999,10.529935101216315,0
2006,115999,0,313,2.1,6.7,9.45000945000945,1
2018,360000,0,270,2.9,7.3,11.880211602259482,1
2002,65000,0,269,1.7,5.1,9.45000945000945,1
2017,685000,0,149,1.6,6.1,11.609907120743031,1
2009,300000,0,98,1.5,4.5,9.45000945000945,0
2017,680000,0,86,1.0,6.2,11.610111351522509,1
2017,1000000,0,257,1.3,6.0,11.609907120743037,1
2002,100000,0,289,1.1,4.9,9.45000945000945,0
2010,160000,0,75,2.3,5.1,9.719989532318966,1
2017,450000,0,382,2.3,7.0,11.609971306785198,1
2014,600000,0,81,2.3,5.9,10.79971920730061,1
2009,180000,0,132,2.2,6.2,9.45000945000945,1
2007,100000,0,243,1.3,4.9,9.45000945000945,0
2010,120000,0,194,1.7,5.699999999999999,9.71995723218818,1
2006,130000,0,391,2.4,5.9,9.45000945000945,1
2011,160000,0,60,2.1,5.699999999999999,9.99000999000999,1
2019,860000,0,267,2.0,7.199999999999999,12.149824695386538,1
2018,650000,0,73,2.7,6.7,11.88001188001188,1
2010,100000,0,281,1.0,5.0,9.719944110321366,1
2017,282000,0,303,1.4,6.6000000000000005,11.609682475184304,1
2009,300000,0,206,1.7,5.2,9.45000945000945,1
2010,270000,0,334,2.3,6.1,9.719976318603152,1
2013,550000,0,136,2.0,5.9,10.530137981118374,1
2013,450000,0,167,1.5,5.2,10.53001053001053,1
2011,430000,0,389,1.7,7.1,9.99000999000999,1
2013,350000,0,170,2.2,5.699999999999999,10.52991812988654,1
2017,350000,0,184,1.4,5.6000000000000005,11.609682475184304,1
2013,229999,0,152,1.9,5.9,10.5300844512773,1
2013,110000,0,296,1.4,6.2,10.5300844512773,1
2012,395000,0,307,1.7,6.3,10.260061141588844,1
2011,650000,1,202,2.0,5.9,9.99000999000999,1
2011,350000,0,268,2.3,6.3,9.99000999000999,1
2020,1400000,0,378,2.1,8.100000000000001,12.419891698544388,2
2018,360000,0,82,2.3,6.3,11.88001188001188,1
2018,1300000,0,69,2.5,5.8,11.879306248515087,1
2015,800000,0,315,1.9,6.9,11.07011070110701,1
2018,229999,0,236,3.1,7.3,11.879776660198788,1
2014,315000,0,313,1.1,6.4,10.799989463424913,1
2012,125000,0,349,1.1,6.1,10.260168559912056,1
2019,700000,0,154,3.2,7.1,12.14974561470119,1
2015,160000,0,354,2.1,7.6,11.069993990574693,2
2017,530000,0,139,2.2,6.6000000000000005,11.609860664523044,1
2018,624000,0,277,3.0,6.800000000000001,11.879754005502509,1
2009,250000,0,268,2.1,5.6000000000000005,9.45000945000945,1
2016,585000,0,159,1.6,5.699999999999999,11.33988526704318,1
2015,500000,0,82,1.9,6.4,11.069783917817924,1
2014,350000,0,340,2.2,7.5,10.799913600691193,2
2014,495000,0,256,1.3,5.699999999999999,10.8000108000108,1
2017,500000,0,306,1.6,6.7,11.610086843449588,1
2015,430000,0,149,2.1,6.2,11.07002900347599,1
2013,345000,0,312,1.8,5.8,10.530094531530452,1
2015,500000,0,65,2.0,5.4,11.070519207350824,1
2019,425000,0,78,2.4,6.5,12.149764443342423,1
2005,80000,0,334,1.0,5.0,9.45000945000945,1
2011,106000,0,169,1.0,5.5,9.99000999000999,1
2009,180000,0,154,2.4,5.2,9.44994944388271,1
2015,250000,0,146,2.4,6.3,11.06990645929042,1
2011,350000,0,72,1.3,4.699999999999999,9.99000999000999,0
2002,60000,0,254,1.2,5.4,9.45000945000945,1
2018,900000,0,135,2.0,6.0,11.88001188001188,1
2017,700000,0,288,1.3,6.1,11.610178786881647,1
2013,2000000,1,218,2.5,6.4,10.53001775751546,1
2017,1000000,0,392,1.4,6.5,11.610019446782571,1
2011,1375000,1,82,3.2,5.699999999999999,9.99000999000999,1
2016,1800000,0,264,2.1,7.3,11.339966486807189,1
2007,160000,0,385,1.1,6.5,9.45000945000945,1
2012,525000,1,299,3.0,6.9,10.260018174889336,1
2012,850000,0,373,1.8,7.199999999999999,10.260002603400814,1
2019,800000,0,254,2.2,7.6,12.150176177554576,2
2017,700000,0,258,2.1,6.4,11.609949701351775,1
2018,800000,0,197,2.1,6.7,11.879870747006272,1
2017,575000,0,282,1.3,6.1,11.609682475184304,1
2012,350000,0,383,1.2,6.3,10.26004551729284,1
2008,250000,0,385,2.4,6.2,9.45000945000945,1
2011,600000,0,397,2.0,6.7,9.989988252883384,1
2007,370000,0,274,1.6,5.300000000000001,9.45000945000945,1
2006,80000,0,67,2.2,4.6000000000000005,9.45000945000945,0
2003,50000,0,275,1.3,4.8,9.45000945000945,0
2018,900000,0,343,3.4,7.3,11.879870747006272,1
2014,300000,0,314,2.0,6.3,10.800135773135434,1
2002,125000,0,382,1.8,6.0,9.45000945000945,1
2015,490000,0,264,2.2,6.9,11.06990645929042,1
2012,300000,0,220,2.0,5.699999999999999,10.259988098413803,1
2013,55000,0,173,2.3,6.800000000000001,10.529862690590516,1
2016,350000,0,304,2.2,6.9,11.339925610088,1
2019,755000,0,395,2.3,7.6,12.150668286755772,2
2017,720000,0,262,1.4,6.5,11.609907120743037,1
2006,229999,0,276,1.1,5.0,9.45000945000945,1
2018,1100000,0,204,2.3,6.2,11.88001188001188,1
2013,400000,0,193,1.5,6.4,10.52997356976634,1
2015,350000,0,233,1.0,5.5,11.069993990574693,1
2012,159000,0,329,1.5,6.9,10.259969521855243,1
2017,550000,0,224,2.2,6.7,11.610143599144516,1
2013,335000,0,166,2.3,6.1,10.530056730680636,1
2014,185000,0,307,1.0,6.3,10.79994600027,1
2012,229999,0,391,1.0,5.6000000000000005,10.260058277131014,1
2014,225000,0,398,1.2,6.2,10.7999497676755,1
2007,250000,0,88,2.3,5.4,9.45000945000945,1
2015,400000,0,279,1.7,6.5,11.07002900347599,1
2014,470000,0,268,2.5,6.9,10.799994699389105,1
2018,300000,1,108,4.3,7.4,11.879870747006272,1
2011,145000,0,61,2.3,6.2,9.99000999000999,1
2007,100000,0,257,1.2,6.1,9.450009450009452,1
2014,500000,0,148,1.7,6.5,10.799969142945306,1
2010,130000,0,270,2.5,6.3,9.720004364083591,1
2010,240000,0,129,1.2,5.2,9.719997627098534,1
2013,150000,0,252,1.9,6.3,10.530056730680636,1
2017,270000,0,105,1.5,6.5,11.610019446782571,1
2014,400000,0,122,1.6,6.3,10.800043200172802,1
2012,200000,0,178,2.3,6.3,10.260070482223313,1
2012,550000,0,285,1.9,5.9,10.259961781642364,1
2018,325000,0,86,3.1,6.3,11.880112691354674,1
2017,860000,1,250,3.0,7.800000000000001,11.609946533140963,2
2012,600000,0,338,1.8,6.0,10.259988098413803,1
2009,125000,0,287,2.2,5.6000000000000005,9.45000945000945,1
2000,60000,0,283,2.5,6.5,9.45000945000945,1
2010,300000,0,354,2.5,7.3,9.71998347602809,1
2007,190000,0,117,2.2,5.6000000000000005,9.45000945000945,1
2013,400000,0,360,1.7,7.199999999999999,10.530044130457677,1
2011,260000,0,268,1.2,5.8,9.99000999000999,1
2017,400000,0,201,1.1,6.1,11.609907120743037,1
2010,250000,0,209,1.3,6.1,9.720062208398137,1
2019,600000,0,76,2.5,6.1,12.15066828675577,1
2010,175000,0,299,1.2,6.0,9.720053785530196,1
2011,450000,0,97,1.3,5.2,9.99000999000999,1
2019,350000,1,346,3.1,7.800000000000001,12.149684108213188,2
2018,800000,0,157,2.8,6.9,11.879870747006272,1
2011,250000,0,117,1.2,4.6000000000000005,9.99000999000999,0
2019,600000,0,76,3.1,6.800000000000001,12.15066828675577,1
2017,600000,0,179,1.5,5.6000000000000005,11.610056889278756,1
2016,130000,0,82,2.0,6.6000000000000005,11.340118504238369,1
2006,90000,0,269,2.3,6.0,9.449998476027918,1
2017,595000,0,272,1.1,6.3,11.60996141704665,1
2014,190000,0,207,2.5,6.5,10.8000108000108,1
1999,50000,0,155,2.0,5.1,9.45000945000945,1
2007,95000,0,319,1.1,5.0,9.45000945000945,1
2016,1000000,0,132,1.5,6.5,11.34007257646449,1
2006,220000,0,390,2.3,6.5,9.45000945000945,1
2010,400000,0,108,1.9,5.0,9.720062208398131,1
2015,315000,0,281,1.4,6.5,11.07011070110701,1
2014,1000000,0,341,2.4,6.6000000000000005,10.79998429093194,1
2014,500000,0,91,2.2,6.5,10.800088163985013,1
2018,1600000,1,87,4.1,7.800000000000001,11.880112691354674,2
2017,500000,0,366,2.3,7.3,11.610019446782571,1
2007,70000,0,227,2.2,6.0,9.450009450009452,1
2007,105000,0,96,1.4,4.5,9.45000945000945,0
2008,400000,0,293,1.9,6.0,9.45000945000945,1
2004,80000,0,238,2.3,6.0,9.45000945000945,1
2016,300000,0,116,1.3,5.4,11.34001134001134,1
2017,409999,0,292,1.2,6.5,11.610019446782571,1
2009,250000,0,395,1.2,6.1,9.45000945000945,1
2010,250000,0,131,1.3,4.8,9.71998347602809,0
2012,215000,0,254,1.2,5.4,10.259961781642364,1
2015,1400000,0,62,2.3,6.0,11.07000857925665,1
2018,475000,0,261,3.2,7.0,11.88001188001188,1
2018,475000,0,250,2.2,6.9,11.87969112803067,1
2008,75000,0,266,2.1,6.0,9.45000945000945,1
2013,200000,0,170,1.9,6.2,10.53001053001053,1
2019,575000,0,110,2.4,6.6000000000000005,12.150668286755772,1
2011,150000,0,297,1.3,6.5,9.99000999000999,1
2018,850000,0,193,2.4,6.800000000000001,11.879306248515087,1
2019,350000,0,340,3.1,7.800000000000001,12.150176177554576,2
2011,550000,0,285,1.5,6.0,9.990009990009993,1
2017,330000,0,85,1.4,5.4,11.61001685806089,1
2017,1044999,0,275,1.0,6.3,11.610086843449588,1
2011,300000,0,139,2.4,5.9,9.989970852790924,1
2015,235000,0,351,2.1,7.5,11.07012368399686,2
2011,120000,0,80,1.7,5.300000000000001,9.99000999000999,1
2004,130000,0,281,2.4,5.6000000000000005,9.450048277420548,1
2004,275000,0,108,1.4,4.5,9.4500741997032,0
2011,270000,0,399,2.0,6.9,9.99000999000999,1
2015,500000,0,119,1.5,6.4,11.07011070110701,1
2015,400000,0,301,1.5,6.1,11.070037863154306,1
2015,600000,0,78,2.3,5.6000000000000005,11.070024548934782,1
2012,1350000,1,137,3.2,6.0,10.260034884118609,1
2013,400000,0,190,1.4,5.4,10.529992238607385,1
2011,220000,0,273,1.1,6.4,9.99000999000999,1
2012,300000,0,187,1.5,6.3,10.259954167860212,1
2018,250000,0,166,3.1,6.6000000000000005,11.88001188001188,1
2015,600000,0,240,1.2,6.1,11.07000857925665,1
2012,285000,1,253,3.0,6.7,10.260058277131014,1
2009,350000,0,377,2.3,6.5,9.450077873877458,1
2011,170000,0,104,1.3,5.8,9.99000999000999,1
2015,229999,0,116,2.3,5.8,11.07011070110701,1
2013,500000,0,242,1.1,5.2,10.529974443227456,1
2011,75000,0,334,2.0,5.8,9.99000999000999,1
2016,600000,0,376,2.2,7.800000000000001,11.34001134001134,2
2011,220000,0,64,1.7,4.9,9.99000999000999,0
2009,150000,0,213,1.3,5.4,9.44999855945144,1
2006,65000,0,78,2.4,5.300000000000001,9.450034553200537,1
2006,120000,0,90,1.0,4.699999999999999,9.45005584123906,0
2014,240000,0,206,1.8,5.5,10.800043200172802,1
2017,390000,0,396,1.6,6.7,11.609907120743037,1
2012,180000,0,184,1.7,5.8,10.259988098413803,1
2012,320000,0,387,1.8,6.6000000000000005,10.259961781642364,1
2018,310000,0,84,2.8,6.2,11.879306248515087,1
2018,420000,1,212,3.3,6.9,11.88001188001188,1
2019,550000,0,296,3.0,7.199999999999999,12.15066828675577,1
2016,550000,0,273,1.0,6.4,11.34001134001134,1
2018,760000,0,200,2.0,7.199999999999999,11.879870747006272,1
2001,43000,0,357,1.7,5.8,9.45000945000945,1
2018,250000,0,202,2.8,6.6000000000000005,11.88001188001188,1
2019,500000,0,82,2.4,6.1,12.147716229348882,1
2015,380000,0,343,1.8,6.4,11.070091648380018,1
2019,1850000,1,171,3.8,7.5,12.15066828675577,2
2012,350000,0,328,1.5,6.9,10.259963490519528,1
2008,195000,0,155,2.0,6.1,9.450009450009452,1
2011,225000,0,390,2.4,6.2,9.99000999000999,1
2015,1125000,0,231,1.7,5.9,11.070047856668427,1
2011,133000,0,350,2.2,6.800000000000001,9.99000999000999,1
2013,200000,0,362,1.4,5.8,10.52989428433566,1
2018,940000,0,294,3.1,7.1,11.88001188001188,1
2014,400000,0,365,2.0,6.800000000000001,10.8000108000108,1
2009,120000,0,146,2.0,5.5,9.45000945000945,1
2015,625000,0,355,2.3,6.7,11.07005963994631,1
2005,110000,0,392,1.4,6.2,9.45000945000945,1
2012,490000,0,257,1.6,6.6000000000000005,10.259988098413803,1
2009,140000,0,280,1.1,5.6000000000000005,9.45000945000945,1
2011,175000,0,357,2.1,7.199999999999999,9.990009990009993,1
2005,90000,0,202,2.3,5.9,9.45000945000945,1
